ESS,RT,RT_variability,Eini,Eini_variability
80.5,80.5,0,10,0
81.1,81.1,8.42915026378765e-28,10.5,0
81.7,81.7,8.42915026378765e-28,11,0
82.2,82.2,8.42915026378765e-28,11.5,0
82.7,82.7,8.42915026378765e-28,12,0
83.2,83.2,8.42915026378765e-28,12.5,0
83.7,83.7,8.42915026378765e-28,13,0
84.1,84.1,8.42915026378765e-28,13.5,0
84.5,84.5,0,14,0
84.9,84.9,8.42915026378765e-28,14.5,0
85.3,85.3,8.42915026378765e-28,15,0
85.7,85.7,8.42915026378765e-28,15.5,0
86,86,0,16,0
86.4,86.4,8.42915026378765e-28,16.5,0
86.7,86.7,8.42915026378765e-28,17,0
87,87,0,17.5,0
87.3,87.3,8.42915026378765e-28,18,0
87.5,87.5,0,18.5,0
87.8,87.8,8.42915026378765e-28,19,0
88.1,88.1,8.42915026378765e-28,19.5,0
88.3,88.3,8.42915026378765e-28,20,0
88.6,88.6,8.42915026378765e-28,20.5,0
88.8,88.8,8.42915026378765e-28,21,0
89,89,0,21.5,0
89.2,89.2,8.42915026378765e-28,22,0
